"pk_orderno","fk_servicelevelid","fk_controlcustomerno","custname","billno","custcity","fk_custstate","custzip","shipper_nbr","shipper_name","shipper_addr_1","shipper_addr_2","shipper_city","shipper_st","shipper_cntry","shipper_zip","consignee_name","consignee_addr_1","consignee_addr_2","consignee_city","consignee_st","consignee_cntry","consignee_zip","origin_port_iata","destination_port_iata","order_status","fk_salesperson","actual_wght_lbs","actual_wght_kgs","chrg_wght_lbs","chrg_wght_kgs","tot_charges","tot_costs","fk_modeid","pieces","userid","orderdate","note"
"7050609","EC","20834","TRAMO @ HOME LA INC",20834,"CARSON","CA","90745",20834,"TRAMO @ HOME LA INC","24640 S MAIN ST.","","CARSON","CA","US","90745","Residence","6695 Regency Stone Way","","Las Vegas","NV","US","89148","LAX","LAS","NEW","LGB02","575.0","261.0","733.0","332.5","594.00","0.00","DOMAIR","1","glugliani","2022-03-23T13:20:23.193Z","** RESIDENCE** LIFTGATE**INSIDE**DEBRIS REMOVAL"
"7050569","ND","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Nationwide - LAX","17071 Murphy Ave","","Irvine","CA","US","92614","Laurel Canyon Stage","9337 Laurel Canyon Blvd","","Los Angeles","CA","US","91331","LAX","LAX","$$$","LGB17","216.0","98.0","219.0","99.5","185.08","62.97","DOMAIR","1","atalley","2022-03-23T08:04:33.287Z","DELIVER 3/25/2022 AT 9AM SHARP"
"7050609","EC","20834","TRAMO @ HOME LA INC",20834,"CARSON","CA","90745",20834,"TRAMO @ HOME LA INC","24640 S MAIN ST.","","CARSON","CA","US","90745","Residence","6695 Regency Stone Way","","Las Vegas","NV","US","89148","LAX","LAS","NEW","LGB02","575.0","261.0","733.0","332.5","594.00","0.00","DOMAIR","1","glugliani","2022-03-23T13:20:23.193Z","** RESIDENCE** LIFTGATE**INSIDE**DEBRIS REMOVAL"
"7050569","ND","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Nationwide - LAX","17071 Murphy Ave","","Irvine","CA","US","92614","Laurel Canyon Stage","9337 Laurel Canyon Blvd","","Los Angeles","CA","US","91331","LAX","LAX","$$$","LGB17","216.0","98.0","219.0","99.5","185.08","62.97","DOMAIR","1","atalley","2022-03-23T08:04:33.287Z","DELIVER 3/25/2022 AT 9AM SHARP"
"7050558","EC","18750","HARBOR FREIGHT TOOLS",18750,"CALABASAS","CA","91302",0,"Harbor Freight Tools","900 North 5th St, Ste 10","","LEESVILLE","LA","US","71446","Harbor Freight Tools #30","61303 S. HIGHWAY 97, SUITE 100","","Bend","OR","US","97702","SHV","PDX","$$$","LAX17","340.0","154.5","446.0","202.5",,,"DOMAIR","1","kangeles","2022-03-23T06:16:25.953Z",
"7050544","EC","20533","IVOCLAR VIVADENT INC",20533,"AMHERST","NY","14228",20533,"IVOCLAR VIVADENT INC","175 PINEVIEW DRIVE","","AMHERST","NY","US","14228","Cherry Hill Dental","220 Diego Dr","","Columbia","MO","US","65203","BUF","STL","$$$","LGB17","94.0","43.0","136.0","62.0","295.00","180.19","DOMAIR","1","dloarca","2022-03-23T04:59:36.910Z","pallet jack // liftgate 

Q032322.33"
"7050544","EC","20533","IVOCLAR VIVADENT INC",20533,"AMHERST","NY","14228",20533,"IVOCLAR VIVADENT INC","175 PINEVIEW DRIVE","","AMHERST","NY","US","14228","Cherry Hill Dental","220 Diego Dr","","Columbia","MO","US","65203","BUF","STL","$$$","LGB17","94.0","43.0","136.0","62.0","295.00","180.19","DOMAIR","1","dloarca","2022-03-23T04:59:36.910Z","pallet jack // liftgate "
"7050559","EC","20563","ESL POWER SYSTEMS INC",20563,"CORONA","CA","92880",20563,"ESL POWER SYSTEMS INC","2800 PALISADES DRIVE","","CORONA","CA","US","92880","","","","Orlando","FL","US","32808","LAX","MCO","$$$","LGB07","370.0","168.0","370.0","168.0","349.74","0.00","DOMAIR","1","atalley","2022-03-23T06:18:53.697Z",
"7050549","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Central Lighting","4103 East 16th Street","","Des Moines","IA","US","50313","NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","DSM","DTW","NEW","LGB17","265.0","120.5","265.0","120.5","366.48","0.00","DOMAIR","3","kangeles","2022-03-23T05:26:55.443Z","***MUST PICK UP FRIDAY 3/25 BETWEEN 12NOON AND 1700***"
"7050549","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Central Lighting","4103 East 16th Street","","Des Moines","IA","US","50313","NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","DSM","DTW","NEW","LGB17","265.0","120.5","265.0","120.5","366.48","0.00","DOMAIR","3","kangeles","2022-03-23T05:26:55.443Z","***MUST DELIVER TUESDAY 3/29 BY 1300***"
"7050602","EC","18552","DSA SIGNAGE",18552,"CARSON","CA","90746",18552,"DSA SIGNAGE","16961 CENTRAL AVE","","CARSON","CA","US","90746","","1400 S Lake Shore Dr","","Chicago","IL","US","60605","LAX","ORD","$$$","LGB07","875.0","397.0","875.0","397.0","801.62","0.00","DOMAIR","1","atalley","2022-03-23T11:44:41.023Z","LIFT GATE REQUIRED. APPOINTMENT (CALL CONSIGNEE TO SCHEDULE DELIVERY)."
"7050582","EC","20533","IVOCLAR VIVADENT INC",20533,"AMHERST","NY","14228",20533,"IVOCLAR VIVADENT INC","175 PINEVIEW DRIVE","","AMHERST","NY","US","14228","DODAAC:  WT4J8S","DLA Troop Support XDock Proj West","4551 East Philadelphia Street","Ontario","CA","US","91761","BUF","LAX","$$$","LGB17","93.0","42.5","136.0","62.0","369.44","0.00","DOMAIR","1","kangeles","2022-03-23T08:51:11.843Z","***PALLET JACK REQUIRED***"
"7050582","EC","20533","IVOCLAR VIVADENT INC",20533,"AMHERST","NY","14228",20533,"IVOCLAR VIVADENT INC","175 PINEVIEW DRIVE","","AMHERST","NY","US","14228","DODAAC:  WT4J8S","DLA Troop Support XDock Proj West","4551 East Philadelphia Street","Ontario","CA","US","91761","BUF","LAX","$$$","LGB17","93.0","42.5","136.0","62.0","369.44","0.00","DOMAIR","1","kangeles","2022-03-23T08:51:11.843Z","***PALLET JACK REQUIRED***"
"7050582","EC","20533","IVOCLAR VIVADENT INC",20533,"AMHERST","NY","14228",20533,"IVOCLAR VIVADENT INC","175 PINEVIEW DRIVE","","AMHERST","NY","US","14228","DODAAC:  WT4J8S","DLA Troop Support XDock Proj West","4551 East Philadelphia Street","Ontario","CA","US","91761","BUF","LAX","$$$","LGB17","93.0","42.5","136.0","62.0","369.44","0.00","DOMAIR","1","kangeles","2022-03-23T08:51:11.843Z","***PALLET JACK REQUIRED***"
"7050549","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Central Lighting","4103 East 16th Street","","Des Moines","IA","US","50313","NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","DSM","DTW","NEW","LGB17","265.0","120.5","265.0","120.5","366.48","0.00","DOMAIR","3","kangeles","2022-03-23T05:26:55.443Z","***MUST DELIVER TUESDAY 3/29 BY 1300***"
"7050602","EC","18552","DSA SIGNAGE",18552,"CARSON","CA","90746",18552,"DSA SIGNAGE","16961 CENTRAL AVE","","CARSON","CA","US","90746","","1400 S Lake Shore Dr","","Chicago","IL","US","60605","LAX","ORD","$$$","LGB07","875.0","397.0","875.0","397.0","801.62","0.00","DOMAIR","1","atalley","2022-03-23T11:44:41.023Z","LIFT GATE REQUIRED. APPOINTMENT (CALL CONSIGNEE TO SCHEDULE DELIVERY)."
"7050574","EC","22071","ALACO LADDER COMPANY",22071,"CHINO","CA","91710",22071,"ALACO LADDER COMPANY","5167 G STREET","","CHINO","CA","US","91710","","","","Enumclaw","WA","US","98022","LAX","SEA","$$$","LGB05","170.0","77.5","577.0","262.0","763.00","0.00","DOMAIR","2","glugliani","2022-03-23T08:37:56.440Z",
"7050552","EC","20574","JBI,  LLC",20574,"LONG BEACH","CA","90810",21275,"JBI","18502 S LAUREL PARK RD","GATE CODE 0562","COMPTON","CA","US","90220","Sullivan Moving & Storage","1439 S 40th Ave Ste 200A","M/F SBUX #25584 Glendale, AZ","Phoenix","AZ","US","85009","LAX","PHX","$$$","LAX17","273.0","124.0","563.0","255.5",,,"DOMAIR","1","dloarca","2022-03-23T05:46:12.850Z","deliver on 3/25
liftgate and inside required
please contact onsite to plan accordingly "
"7050552","EC","20574","JBI,  LLC",20574,"LONG BEACH","CA","90810",21275,"JBI","18502 S LAUREL PARK RD","GATE CODE 0562","COMPTON","CA","US","90220","Sullivan Moving & Storage","1439 S 40th Ave Ste 200A","M/F SBUX #25584 Glendale, AZ","Phoenix","AZ","US","85009","LAX","PHX","$$$","LAX17","273.0","124.0","563.0","255.5",,,"DOMAIR","1","dloarca","2022-03-23T05:46:12.850Z","deliver on 3/25
liftgate and inside required
please contact onsite to plan accordingly "
"7050594","2D","20479","JIUN HO INC",20479,"SAN FRANCISCO","CA","94103",20479,"JIUN HO INC","1180 FOLSOM ST","","SAN FRANCISCO","CA","US","94103","BEVERLY PACKING","9072 ROSECRANS AVE","","Bellflower","CA","US","90706","SFO","LAX","NEW","LGB05","577.0","262.0","595.0","270.0",,,"DOMAIR","1","atalley","2022-03-23T10:51:35.160Z",
"7050564","EC","2430","CHRISTIE DIGITAL (CA)",2430,"CYPRESS","CA","90630",0,"","","","Riverside","CA","US","92507","","","","Hillsboro","OR","US","97124","LAX","PDX","NEW","LAX06","180.0","82.0","180.0","82.0","0.00","156.06","DOMAIR","1","dahall","2022-03-23T07:40:03.453Z",
"7050536","2D","21028","TISERA,  INC.",21028,"GARDENA","CA","90248",21028,"TISERA,  INC.","14710 S. MAPLE AVE.","","GARDENA","CA","US","90248","","","","San Francisco","CA","US","94123","LAX","SFO","$$$","LGB03","140.0","63.5","186.0","84.5","258.04","0.00","DOMAIR","1","atalley","2022-03-23T04:02:51.910Z","RESIDENTIAL DELIVERY. LIFT GATE REQUIRED."
"7050536","2D","21028","TISERA,  INC.",21028,"GARDENA","CA","90248",21028,"TISERA,  INC.","14710 S. MAPLE AVE.","","GARDENA","CA","US","90248","","","","San Francisco","CA","US","94123","LAX","SFO","$$$","LGB03","140.0","63.5","186.0","84.5","258.04","0.00","DOMAIR","1","atalley","2022-03-23T04:02:51.910Z","RESIDENTIAL DELIVERY. LIFT GATE REQUIRED."
"7050547","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",19091,"NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","LIVE TECHNOLOGIES - COLUMBUS","3445 MILLENNIUM COURT","","COLUMBUS/CMH","OH","US","43219","DTW","CMH","NEW","LGB17","448.0","203.5","760.0","345.0","374.73","277.43","DOMAIR","1","idollosa","2022-03-23T05:13:32.720Z","***DELIVER ON 3/31 BY 1700***"
"7050547","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",19091,"NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","LIVE TECHNOLOGIES - COLUMBUS","3445 MILLENNIUM COURT","","COLUMBUS/CMH","OH","US","43219","DTW","CMH","NEW","LGB17","448.0","203.5","760.0","345.0","374.73","277.43","DOMAIR","1","idollosa","2022-03-23T05:13:32.720Z","***DELIVER ON 3/31 BY 1700***"
"7050555","EC","21592","JMA NORTH AMERICA LLC DBA JMATEK LLC",21592,"KWUN TO","","",0,"ADVANCED DISTRIBUTION SYSTEMS, INC JMA","615 ROUTE 303","","Blauvelt","NY","US","10913","SEKO LOGISTICS C/O ENERGY FEDERATION INC","302 EAGLE LANDING PARKWAY","","Stockbridge","GA","US","30281","JFK","ATL","NEW","LAX03","2594.0","1177.0","2594.0","1177.0","1400.00","1037.37","DOMAIR","2","jmamea","2022-03-23T05:54:59.343Z","send email invoices to BOTH:  l.lemos@jmatek.com and  invoices@jmatek.com"
"7050578","2D","20385","SAFRAN C/O MAG AEROSPACE INDUSTRIES",20385,"CARSON","CA","90746",21207,"AIRTECH INTERNTIONAL","6377 KIMBALL AVE","","CHINO","CA","US","91708","RIO BRAVO INDUSTRIES","12035 ROJAS DR. SUITE F","","EL PASO","TX","US","79936","LAX","ELP","$$$","LGB07","694.0","315.0","694.0","315.0",,,"DOMAIR","1","kangeles","2022-03-23T08:42:52.880Z",
"7050539","AI","19409","SPACEX",19409,"HAWTHORNE","CA","90245",0,"KUNSHAN ESON PRECISION ENGINEERING CO.,LTD.","KUNSHAN ESON PRECISION ENGINEERING CO.,LTD.","","JIANGSU","","CN","","SPACEX","3901 JACK NORTHROP AVE","","HAWTHORNE","CA","US","90245","PVG","LAX","$$$","LAX17","4612.0","2091.0","8145.0","3695.5","48010.16","35809.39","AIRIMPORT","12","plabio","2022-03-23T04:39:01.330Z",
"7050543","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",19091,"NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","XAVIER UNIVERSITY CINTAS CENTER","1624 HERALD AVE.","VIDEO PRODUCTION","CINCINNATI","OH","US","45207","DTW","CVG","NEW","LGB17","618.0","280.5","744.0","337.5","520.12","334.49","DOMAIR","1","idollosa","2022-03-23T04:58:23.173Z","***DELIVER on 3/30 BY 1700***"
"7050598","EC","21033","CASPER SLEEP INC",21033,"NEW YORK","NY","10007",0,"GEODIS Riverside","1580 Eastridge Ave.","","Riverside","CA","US","92507","SIT 'N SLEEP CORPORATE DC","14300 S. MAIN ST.","","Gardena","CA","US","90248","LAX","LAX","$$$","LAX17","1385.0","628.5","4751.0","2155.5",,,"DOMAIR","4","kangeles","2022-03-23T11:19:47.920Z","***MUST PICK UP FRIDAY 3/25***"
"7050584","EC","22071","ALACO LADDER COMPANY",22071,"CHINO","CA","91710",22071,"ALACO LADDER COMPANY","5167 G STREET","","CHINO","CA","US","91710","","","","bellevue","WA","US","98004","LAX","SEA","$$$","LGB05","340.0","154.5","613.0","278.5","599.00","0.00","DOMAIR","1","glugliani","2022-03-23T09:00:32.110Z","** GOVERNMENT FACILITY ** "
"7050584","EC","22071","ALACO LADDER COMPANY",22071,"CHINO","CA","91710",22071,"ALACO LADDER COMPANY","5167 G STREET","","CHINO","CA","US","91710","","","","bellevue","WA","US","98004","LAX","SEA","$$$","LGB05","340.0","154.5","613.0","278.5","599.00","0.00","DOMAIR","1","glugliani","2022-03-23T09:00:32.110Z","** GOVERNMENT FACILITY ** "
"7050543","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",19091,"NATIONWIDE - DTW","28455 AUTOMATION BLVD","","WIXOM","MI","US","48393","XAVIER UNIVERSITY CINTAS CENTER","1624 HERALD AVE.","VIDEO PRODUCTION","CINCINNATI","OH","US","45207","DTW","CVG","NEW","LGB17","618.0","280.5","744.0","337.5","520.12","334.49","DOMAIR","1","idollosa","2022-03-23T04:58:23.173Z","***DELIVER on 3/30 BY 1700***"
"7050542","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Barco, Inc","11080 White Rock Road","Suite 100","Rancho Cordova","CA","US","95670","Nationwide - LAX","17071 Murphy Ave.","","Irvine","CA","US","92614","SMF","LAX","NEW","LGB17","218.0","99.0","218.0","99.0","448.60","0.00","DOMAIR","1","kangeles","2022-03-23T04:53:15.520Z","***MUST PICK UP FRIDAY 3/25 BETWEEN 12NOON AND 1700***"
"7050542","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Barco, Inc","11080 White Rock Road","Suite 100","Rancho Cordova","CA","US","95670","Nationwide - LAX","17071 Murphy Ave.","","Irvine","CA","US","92614","SMF","LAX","NEW","LGB17","218.0","99.0","218.0","99.0","448.60","0.00","DOMAIR","1","kangeles","2022-03-23T04:53:15.520Z","***MUST DELIVER TUESDAY 3/29 BY 1300***"
"7050542","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Barco, Inc","11080 White Rock Road","Suite 100","Rancho Cordova","CA","US","95670","Nationwide - LAX","17071 Murphy Ave.","","Irvine","CA","US","92614","SMF","LAX","NEW","LGB17","218.0","99.0","218.0","99.0","448.60","0.00","DOMAIR","1","kangeles","2022-03-23T04:53:15.520Z","***MUST DELIVER TUESDAY 3/29 BY 1300***"
"7050542","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",0,"Barco, Inc","11080 White Rock Road","Suite 100","Rancho Cordova","CA","US","95670","Nationwide - LAX","17071 Murphy Ave.","","Irvine","CA","US","92614","SMF","LAX","NEW","LGB17","218.0","99.0","218.0","99.0","448.60","0.00","DOMAIR","1","kangeles","2022-03-23T04:53:15.520Z","***MUST DELIVER TUESDAY 3/29 BY 1300***"
"7050540","EC","17705","DECKERS OUTDOOR CORP",17705,"GOLETA","CA","93117",0,"REALLY RIGHT ON LLC","5030 SHAFTO ROAD, DOCK 6","","TINTON FALLS","NJ","US","07712","DECKERS BRANDS","17791 N PERRIS BLVD","","MORENO VALLEY","CA","US","92551","EWR","LAX","$$$","LAX17","331.0","150.5","487.0","221.0",,,"DOMAIR","1","kangeles","2022-03-23T04:41:29.490Z",
"7050554","ND","20574","JBI,  LLC",20574,"LONG BEACH","CA","90810",21275,"JBI","18502 S LAUREL PARK RD","GATE CODE 0562","COMPTON","CA","US","90220","Excel Construction","1950 Raymer Avenue","M/F SBUX #24168 Santa Fe Springs, CA","Fullerton","CA","US","92833","LAX","LAX","$$$","LAX17","399.0","181.5","761.0","345.5","307.73","0.00","DOMAIR","2","kangeles","2022-03-23T05:51:35.340Z","***MUST DELIVER THURSDAY 3/24*** ***LIFTGATE DELIVERY REQUIRED*** INSIDE DELIVERY*** ***MUST CALL POC 24HRS PRIOR TO DELIVERY TO PLAN ACCORDINGLY TO CONFIRM STORE HOURS -- NO EXCEPTIONS***"
"7050554","ND","20574","JBI,  LLC",20574,"LONG BEACH","CA","90810",21275,"JBI","18502 S LAUREL PARK RD","GATE CODE 0562","COMPTON","CA","US","90220","Excel Construction","1950 Raymer Avenue","M/F SBUX #24168 Santa Fe Springs, CA","Fullerton","CA","US","92833","LAX","LAX","$$$","LAX17","399.0","181.5","761.0","345.5","307.73","0.00","DOMAIR","2","kangeles","2022-03-23T05:51:35.340Z","***MUST DELIVER THURSDAY 3/24*** ***LIFTGATE DELIVERY REQUIRED*** INSIDE DELIVERY*** ***MUST CALL POC 24HRS PRIOR TO DELIVERY TO PLAN ACCORDINGLY TO CONFIRM STORE HOURS -- NO EXCEPTIONS***"
"7050554","ND","20574","JBI,  LLC",20574,"LONG BEACH","CA","90810",21275,"JBI","18502 S LAUREL PARK RD","GATE CODE 0562","COMPTON","CA","US","90220","Excel Construction","1950 Raymer Avenue","M/F SBUX #24168 Santa Fe Springs, CA","Fullerton","CA","US","92833","LAX","LAX","$$$","LAX17","399.0","181.5","761.0","345.5","307.73","0.00","DOMAIR","2","kangeles","2022-03-23T05:51:35.340Z","***MUST DELIVER THURSDAY 3/24*** ***LIFTGATE DELIVERY REQUIRED*** INSIDE DELIVERY*** ***MUST CALL POC 24HRS PRIOR TO DELIVERY TO PLAN ACCORDINGLY TO CONFIRM STORE HOURS -- NO EXCEPTIONS***"
"7050556","EC","20387","LLOYDS MATERIAL SUPPLY COMPANY",20387,"POMONA","CA","91766",20387,"LLOYDS MATERIAL SUPPLY COMPANY","1462 E 9TH ST","","POMONA","CA","US","91766","KATHY SANTOS","1231 VIA LUCERO","","Oceanside","CA","CA","92056","LAX","SAN","$$$","LGB05","868.0","394.0","1398.0","634.5","1035.00","775.00","DOMAIR","1","imata","2022-03-23T06:03:53.880Z"," business to residential DELIVERY

"
"7050577","EC","2484","INSIGHT INVESTMENTS, LLC",2484,"COSTA MESA","CA","92626",0,"HONDA NETWORKING EQUIPMENT","2170 POINT BLVD","STE 100","Elgin","IL","US","60123","INSIGHT INVESTMENTS","7501 MERIDIAN PLACE NW SUITE B-3","","ALBUQUERQUE","NM","US","87121","ORD","ABQ","$$$","LAX03","150.0","68.0","396.0","180.0","1175.00","691.31","DOMAIR","1","elopez","2022-03-23T08:44:46.707Z","ALL ITEMS MUST BE INDIVIDUALLY BUBBLE-WRAPPED AND/OR PACKED INDIVIDUALLY."
"7050577","EC","2484","INSIGHT INVESTMENTS, LLC",2484,"COSTA MESA","CA","92626",0,"HONDA NETWORKING EQUIPMENT","2170 POINT BLVD","STE 100","Elgin","IL","US","60123","INSIGHT INVESTMENTS","7501 MERIDIAN PLACE NW SUITE B-3","","ALBUQUERQUE","NM","US","87121","ORD","ABQ","$$$","LAX03","150.0","68.0","396.0","180.0","1175.00","691.31","DOMAIR","1","elopez","2022-03-23T08:44:46.707Z","ALL ITEMS MUST BE INDIVIDUALLY BUBBLE-WRAPPED AND/OR PACKED INDIVIDUALLY."
"7050589","EC","19549","TRAMO @ HOME NY INC",19549,"BAYONNE","NJ","7002",0,"","","","Carson","CA","US","90745","","","","Tampa","FL","US","33602","LAX","TPA","NEW","LGB02","1060.0","481.5","2424.0","1100.0","1895.00","1043.26","DOMAIR","4","bromero","2022-03-23T09:56:50.497Z",
